,width,longitude,type,average_people_value
214,55.768797899999996,37.634208900000004,apartments,500.0
215,55.768738,37.6344546,apartments,500.0
216,55.7697859,37.6346116,office,1000.0
217,55.75247125,37.60474225,office,1000.0
218,55.75419895,37.635555249999996,commercial,1000.0
219,55.7424071,37.6386505,apartments,500.0
220,55.7412544,37.63977935,office,1000.0
221,55.741638949999995,37.63648155,apartments,500.0
222,55.7412098,37.63652245,apartments,500.0
223,55.740951249999995,37.635629449999996,apartments,500.0
224,55.74047245,37.6354582,apartments,500.0
225,55.74065905,37.63352085,commercial,1000.0
226,55.742044250000006,37.6321933,apartments,500.0
227,55.742531799999995,37.63528775,apartments,500.0
228,55.7434564,37.63374425000001,apartments,500.0
229,55.7439651,37.63498925,commercial,1000.0
230,55.7434006,37.63487845,apartments,500.0
231,55.7426849,37.636043650000005,apartments,500.0
232,55.7450934,37.63882525,apartments,500.0
233,55.7442636,37.6393996,apartments,500.0
235,55.7392901,37.6332749,apartments,500.0
236,55.73919775,37.634582800000004,apartments,500.0
237,55.741253,37.6374377,apartments,500.0
238,55.74050145,37.6401904,apartments,500.0
239,55.73975325,37.64056095,office,1000.0
240,55.7404691,37.64155395,apartments,500.0
241,55.74474645,37.6359704,apartments,500.0
242,55.744850650000004,37.6366982,apartments,500.0
243,55.7447761,37.643678,office,1000.0
244,55.7438358,37.632128550000004,apartments,500.0
245,55.7412611,37.63135545,apartments,500.0
246,55.743262200000004,37.63939435,apartments,500.0
247,55.742894199999995,37.6399749,apartments,500.0
248,55.7426729,37.63496835,commercial,1000.0
249,55.74146475,37.63229295,commercial,1000.0
250,55.74012845,37.63162405,commercial,1000.0
251,55.75944335,37.63367265,commercial,1000.0
252,55.73026365,37.63248125,apartments,500.0
253,55.730083300000004,37.63367965,apartments,500.0
254,55.734503450000005,37.62343155,apartments,500.0
255,55.7336276,37.6220337,office,1000.0
256,55.7320451,37.622564600000004,apartments,500.0
257,55.7311493,37.6244202,apartments,500.0
258,55.733861649999994,37.6329518,apartments,500.0
259,55.73325965,37.6334017,apartments,500.0
260,55.7355947,37.634459899999996,apartments,500.0
261,55.7359825,37.62532325,commercial,1000.0
262,55.7354731,37.61498254999999,apartments,500.0
263,55.73534295,37.6154679,apartments,500.0
264,55.73285645,37.61410535,apartments,500.0
