,width,longitude,type
198,55.76995875,37.63676085,apartments
199,55.7693806,37.63841805,office
200,55.769020999999995,37.637225650000005,apartments
201,55.7689604,37.63654335,apartments
202,55.76933205,37.6394691,apartments
203,55.76871125,37.63938175,apartments
204,55.768825,37.64031835,apartments
205,55.7680824,37.64125919999999,apartments
206,55.7681908,37.6415427,apartments
207,55.768767600000004,37.63557295,college
208,55.76851775,37.634338650000004,commercial
209,55.7700168,37.634915899999996,apartments
210,55.77025265,37.63507525,apartments
211,55.7701807,37.6360081,apartments
212,55.7699453,37.6362971,apartments
213,55.7688624,37.63389335,commercial
214,55.768797899999996,37.634208900000004,apartments
215,55.768738,37.6344546,apartments
216,55.7697859,37.6346116,office
217,55.75247125,37.60474225,office
218,55.75419895,37.635555249999996,commercial
219,55.7424071,37.6386505,apartments
220,55.7412544,37.63977935,office
221,55.741638949999995,37.63648155,apartments
222,55.7412098,37.63652245,apartments
223,55.740951249999995,37.635629449999996,apartments
224,55.74047245,37.6354582,apartments
225,55.74065905,37.63352085,commercial
226,55.742044250000006,37.6321933,apartments
227,55.742531799999995,37.63528775,apartments
228,55.7434564,37.63374425000001,apartments
229,55.7439651,37.63498925,commercial
230,55.7434006,37.63487845,apartments
231,55.7426849,37.636043650000005,apartments
232,55.7450934,37.63882525,apartments
233,55.7442636,37.6393996,apartments
234,55.739191250000005,37.63560885,college
235,55.7392901,37.6332749,apartments
236,55.73919775,37.634582800000004,apartments
237,55.741253,37.6374377,apartments
238,55.74050145,37.6401904,apartments
239,55.73975325,37.64056095,office
240,55.7404691,37.64155395,apartments
241,55.74474645,37.6359704,apartments
242,55.744850650000004,37.6366982,apartments
243,55.7447761,37.643678,office
244,55.7438358,37.632128550000004,apartments
245,55.7412611,37.63135545,apartments
246,55.743262200000004,37.63939435,apartments
247,55.742894199999995,37.6399749,apartments
248,55.7426729,37.63496835,commercial
249,55.74146475,37.63229295,commercial
250,55.74012845,37.63162405,commercial
251,55.75944335,37.63367265,commercial
252,55.73026365,37.63248125,apartments
253,55.730083300000004,37.63367965,apartments
254,55.734503450000005,37.62343155,apartments
255,55.7336276,37.6220337,office
256,55.7320451,37.622564600000004,apartments
257,55.7311493,37.6244202,apartments
258,55.733861649999994,37.6329518,apartments
259,55.73325965,37.6334017,apartments
260,55.7355947,37.634459899999996,apartments
261,55.7359825,37.62532325,commercial
262,55.7354731,37.61498254999999,apartments
263,55.73534295,37.6154679,apartments
264,55.73285645,37.61410535,apartments
265,55.732515500000005,37.61465645,apartments
266,55.73192455,37.6157336,apartments
267,55.7312885,37.63175915,apartments
268,55.730837949999994,37.63149865,apartments
269,55.73366085,37.6388064,apartments
270,55.746836599999995,37.63369045,apartments
271,55.747493250000005,37.63403965,office
272,55.7598775,37.6402647,commercial
273,55.7644669,37.644874599999994,office
274,55.76234595,37.64463285,apartments
275,55.763324850000004,37.642912949999996,apartments
276,55.76265515,37.6444218,apartments
277,55.76263625,37.644822649999995,apartments
278,55.7625193,37.64476525,apartments
279,55.763187450000004,37.64408435,apartments
280,55.763900050000004,37.6447543,apartments
281,55.76344455,37.64518225,apartments
282,55.7364261,37.621781600000006,commercial
283,55.744355600000006,37.6123389,apartments
284,55.76869365,37.64204875,commercial
285,55.74678975,37.62661995,office
286,55.747405,37.625356249999996,commercial
287,55.771741399999996,37.60526625,commercial
288,55.756249249999996,37.61326485,office
289,55.748100199999996,37.622597,office
290,55.7575864,37.637147150000004,apartments
291,55.735342599999996,37.642129350000005,office
292,55.7595048,37.64479955,apartments
293,55.75994505,37.64442405,apartments
294,55.759301050000005,37.64338745,apartments
295,55.7596168,37.64220280000001,apartments
296,55.7605581,37.643085,apartments
297,55.760992599999994,37.642449049999996,apartments
298,55.7612513,37.642061,apartments
299,55.7616862,37.641472199999995,office
300,55.76168165,37.6406219,office
301,55.7616291,37.6428962,apartments
302,55.762241700000004,37.64213325,apartments
303,55.76228535,37.640136999999996,commercial
304,55.7624784,37.63937365,commercial
305,55.762583649999996,37.63964245,office
306,55.7627745,37.639707200000004,commercial
